Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:49,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:50,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:50,20.189.173.17,172.22.143.39,443,32924,
2024-09-13 10:02:51,172.22.143.39,20.189.173.17,32924,443,
2024-09-13 10:02:52,20.189.173.17,172.22.143.39,443,32924,
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Dettagli
Data,IP Sorgente,IP Destinazione,Porta Sorgente,Porta Destinazione,Dettagli
2024-09-13 10:03:29,172.22.143.39,52.168.117.171,53012,443,TCP 172.22.143.39:53012 > 52.168.117.171:https A
2024-09-13 10:03:29,52.168.117.171,172.22.143.39,443,53012,TCP 52.168.117.171:https > 172.22.143.39:53012 A
2024-09-13 10:03:30,172.22.143.39,52.168.117.175,37274,443,TCP 172.22.143.39:37274 > 52.168.117.175:https PA / Raw
2024-09-13 10:03:30,172.22.143.39,52.168.117.175,37274,443,TCP 172.22.143.39:37274 > 52.168.117.175:https PA / Raw
2024-09-13 10:03:30,52.168.117.175,172.22.143.39,443,37274,TCP 52.168.117.175:https > 172.22.143.39:37274 PA / Raw
2024-09-13 10:03:30,172.22.143.39,52.168.117.175,37274,443,TCP 172.22.143.39:37274 > 52.168.117.175:https A
2024-09-13 10:03:30,172.22.143.39,52.168.117.175,37274,443,TCP 172.22.143.39:37274 > 52.168.117.175:https PA / Raw
